dimension,auc_mean,auc_std,estimator
119,0.8689256535947714,0.033198376608402684,"RandomForestClassifier(ccp_alpha=1.0957483231951851e-07, max_depth=150,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
120,0.8714256535947712,0.04077845609834308,"RandomForestClassifier(ccp_alpha=1.4996771928149955e-09, max_depth=10,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
121,0.870906862745098,0.046950553013975965,"RandomForestClassifier(ccp_alpha=2.79765022896849e-08, max_depth=150,
                       max_leaf_nodes=200, min_samples_split=3,
                       n_estimators=1000, random_state=42)"
122,0.8756209150326797,0.04231780407734217,"RandomForestClassifier(ccp_alpha=1.699036894051996e-08, max_depth=150,
                       max_leaf_nodes=50, n_estimators=1000, random_state=42)"
123,0.8749101307189543,0.04012842774776538,"RandomForestClassifier(ccp_alpha=0.0002982837132775064, max_depth=150,
                       max_leaf_nodes=200, n_estimators=476, random_state=42)"
124,0.8734640522875818,0.04501149918222338,"RandomForestClassifier(ccp_alpha=1e-10, max_depth=150, max_leaf_nodes=50,
                       n_estimators=1000, random_state=42)"
125,0.8720506535947712,0.041509611250367145,"RandomForestClassifier(ccp_alpha=8.859255389597164e-09, max_depth=11,
                       max_leaf_nodes=50, n_estimators=1000, random_state=42)"
126,0.8794730392156863,0.0355028608378242,"RandomForestClassifier(ccp_alpha=3.194246574895081e-05, max_depth=113,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
127,0.8743770424836601,0.04608683344405158,"RandomForestClassifier(ccp_alpha=0.0011532355460690397, max_depth=109,
                       max_leaf_nodes=125, n_estimators=1000, random_state=42)"
128,0.8684722222222222,0.047796515497639476,"RandomForestClassifier(ccp_alpha=1.964581283019492e-08, max_depth=150,
                       max_leaf_nodes=199, n_estimators=319, random_state=42)"
129,0.8756740196078432,0.04450403169390917,"RandomForestClassifier(ccp_alpha=0.004071075042228726, max_depth=90,
                       max_leaf_nodes=67, n_estimators=1000, random_state=42)"
130,0.8718423202614378,0.03620580095031694,"RandomForestClassifier(ccp_alpha=4.6937824852460475e-09, max_depth=90,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
131,0.8704861111111111,0.034803520021694775,"RandomForestClassifier(ccp_alpha=5.837426377490104e-10, max_depth=150,
                       max_leaf_nodes=200, n_estimators=230, random_state=42)"
132,0.8713316993464051,0.046314024943966095,"RandomForestClassifier(ccp_alpha=0.013149260771852307, criterion='entropy',
                       max_depth=31, max_leaf_nodes=200, min_samples_split=4,
                       n_estimators=278, random_state=42)"
133,0.8714011437908497,0.031431759478157344,"RandomForestClassifier(ccp_alpha=0.00016642052626234958, max_depth=150,
                       max_leaf_nodes=200, min_samples_split=14,
                       n_estimators=215, random_state=42)"
